relative_path,status,output_file
"1. ACLARACION - FORMULA\252.docx",200,"responses\1. ACLARACION - FORMULA\252.response.json"
"1. ACLARACION - FORMULA\254.docx",200,"responses\1. ACLARACION - FORMULA\254.response.json"
"1. ACLARACION - FORMULA\253.docx",200,"responses\1. ACLARACION - FORMULA\253.response.json"
"1. ACLARACION - FORMULA\251.docx",200,"responses\1. ACLARACION - FORMULA\251.response.json"
"1. ACLARACION - FORMULA\255.docx",200,"responses\1. ACLARACION - FORMULA\255.response.json"
"1. ACLARACION - FORMULA\257.docx",200,"responses\1. ACLARACION - FORMULA\257.response.json"
"1. ACLARACION - FORMULA\258.docx",200,"responses\1. ACLARACION - FORMULA\258.response.json"
"1. ACLARACION - FORMULA\256.docx",200,"responses\1. ACLARACION - FORMULA\256.response.json"
"1. ACLARACION - FORMULA\259.docx",200,"responses\1. ACLARACION - FORMULA\259.response.json"
"10. BONO Y IUS - ACOMPAÑA\342.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\342.response.json"
"1. ACLARACION - FORMULA\260.docx",200,"responses\1. ACLARACION - FORMULA\260.response.json"
"10. BONO Y IUS - ACOMPAÑA\341.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\341.response.json"
"10. BONO Y IUS - ACOMPAÑA\343.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\343.response.json"
"10. BONO Y IUS - ACOMPAÑA\345.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\345.response.json"
"10. BONO Y IUS - ACOMPAÑA\346.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\346.response.json"
"10. BONO Y IUS - ACOMPAÑA\344.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\344.response.json"
"10. BONO Y IUS - ACOMPAÑA\348.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\348.response.json"
"10. BONO Y IUS - ACOMPAÑA\350.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\350.response.json"
"10. BONO Y IUS - ACOMPAÑA\349.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\349.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\351.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\351.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\352.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\352.response.json"
"10. BONO Y IUS - ACOMPAÑA\347.docx",200,"responses\10. BONO Y IUS - ACOMPAÑA\347.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\353.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\353.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\354.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\354.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\355.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\355.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\356.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\356.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\357.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\357.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\358.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\358.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\359.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\359.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\361.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\361.response.json"
"11. CEDULA - SOLICITA LIBRAMIENTO\360.docx",200,"responses\11. CEDULA - SOLICITA LIBRAMIENTO\360.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\362.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\362.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\364.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\364.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\365.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\365.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\363.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\363.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\366.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\366.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\367.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\367.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\368.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\368.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\369.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\369.response.json"
"12. CEDULA DILIGENCIADA - ACOMPAÑA\370.docx",200,"responses\12. CEDULA DILIGENCIADA - ACOMPAÑA\370.response.json"
"13. CEDULA ELECTRONICA\371.docx",200,"responses\13. CEDULA ELECTRONICA\371.response.json"
"13. CEDULA ELECTRONICA\372.docx",200,"responses\13. CEDULA ELECTRONICA\372.response.json"
"13. CEDULA ELECTRONICA\373.docx",200,"responses\13. CEDULA ELECTRONICA\373.response.json"
"13. CEDULA ELECTRONICA\374.docx",200,"responses\13. CEDULA ELECTRONICA\374.response.json"
"13. CEDULA ELECTRONICA\376.docx",200,"responses\13. CEDULA ELECTRONICA\376.response.json"
"13. CEDULA ELECTRONICA\375.docx",200,"responses\13. CEDULA ELECTRONICA\375.response.json"
"13. CEDULA ELECTRONICA\377.docx",200,"responses\13. CEDULA ELECTRONICA\377.response.json"
"13. CEDULA ELECTRONICA\378.docx",200,"responses\13. CEDULA ELECTRONICA\378.response.json"
"13. CEDULA ELECTRONICA\379.docx",200,"responses\13. CEDULA ELECTRONICA\379.response.json"
"13. CEDULA ELECTRONICA\380.docx",200,"responses\13. CEDULA ELECTRONICA\380.response.json"
"14. CITACION DE VENTA - SOLICITA\381.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\381.response.json"
"14. CITACION DE VENTA - SOLICITA\382.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\382.response.json"
"14. CITACION DE VENTA - SOLICITA\383.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\383.response.json"
"14. CITACION DE VENTA - SOLICITA\386.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\386.response.json"
"14. CITACION DE VENTA - SOLICITA\384.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\384.response.json"
"14. CITACION DE VENTA - SOLICITA\385.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\385.response.json"
"14. CITACION DE VENTA - SOLICITA\387.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\387.response.json"
"14. CITACION DE VENTA - SOLICITA\390.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\390.response.json"
"14. CITACION DE VENTA - SOLICITA\388.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\388.response.json"
"14. CITACION DE VENTA - SOLICITA\389.docx",200,"responses\14. CITACION DE VENTA - SOLICITA\389.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\391.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\391.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\393.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\393.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\394.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\394.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\392.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\392.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\395.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\395.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\398.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\398.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\396.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\396.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\397.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\397.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\399.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\399.response.json"
"15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\400.docx",200,"responses\15. CUESTION PURO DERECHO - SOLICITA SE DECLARE\400.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\401.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\401.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\402.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\402.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\403.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\403.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\405.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\405.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\404.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\404.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\406.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\406.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\407.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\407.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\410.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\410.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\408.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\408.response.json"
"17. D.H. - SOLICITA SE DICTE\411.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\411.response.json"
"16. D. H. - INSCRIPCION - SOLICITA\409.docx",200,"responses\16. D. H. - INSCRIPCION - SOLICITA\409.response.json"
"17. D.H. - SOLICITA SE DICTE\414.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\414.response.json"
"17. D.H. - SOLICITA SE DICTE\413.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\413.response.json"
"17. D.H. - SOLICITA SE DICTE\412.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\412.response.json"
"17. D.H. - SOLICITA SE DICTE\415.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\415.response.json"
"17. D.H. - SOLICITA SE DICTE\416.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\416.response.json"
"17. D.H. - SOLICITA SE DICTE\417.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\417.response.json"
"17. D.H. - SOLICITA SE DICTE\418.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\418.response.json"
"17. D.H. - SOLICITA SE DICTE\419.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\419.response.json"
"18. DATOS - SE DENUNCIAN\421.docx",200,"responses\18. DATOS - SE DENUNCIAN\421.response.json"
"17. D.H. - SOLICITA SE DICTE\420.docx",200,"responses\17. D.H. - SOLICITA SE DICTE\420.response.json"
"18. DATOS - SE DENUNCIAN\422.docx",200,"responses\18. DATOS - SE DENUNCIAN\422.response.json"
"18. DATOS - SE DENUNCIAN\423.docx",200,"responses\18. DATOS - SE DENUNCIAN\423.response.json"
"18. DATOS - SE DENUNCIAN\424.docx",200,"responses\18. DATOS - SE DENUNCIAN\424.response.json"
"18. DATOS - SE DENUNCIAN\425.docx",200,"responses\18. DATOS - SE DENUNCIAN\425.response.json"
"18. DATOS - SE DENUNCIAN\426.docx",200,"responses\18. DATOS - SE DENUNCIAN\426.response.json"
"18. DATOS - SE DENUNCIAN\427.docx",200,"responses\18. DATOS - SE DENUNCIAN\427.response.json"
"18. DATOS - SE DENUNCIAN\429.docx",200,"responses\18. DATOS - SE DENUNCIAN\429.response.json"
"18. DATOS - SE DENUNCIAN\428.docx",200,"responses\18. DATOS - SE DENUNCIAN\428.response.json"
"18. DATOS - SE DENUNCIAN\430.docx",200,"responses\18. DATOS - SE DENUNCIAN\430.response.json"
"19. DEMANDA - AMPLIA\431.docx",200,"responses\19. DEMANDA - AMPLIA\431.response.json"
"19. DEMANDA - AMPLIA\432.docx",200,"responses\19. DEMANDA - AMPLIA\432.response.json"
"19. DEMANDA - AMPLIA\433.docx",200,"responses\19. DEMANDA - AMPLIA\433.response.json"
"19. DEMANDA - AMPLIA\434.docx",200,"responses\19. DEMANDA - AMPLIA\434.response.json"
"19. DEMANDA - AMPLIA\435.docx",200,"responses\19. DEMANDA - AMPLIA\435.response.json"
"19. DEMANDA - AMPLIA\436.docx",200,"responses\19. DEMANDA - AMPLIA\436.response.json"
"19. DEMANDA - AMPLIA\438.docx",200,"responses\19. DEMANDA - AMPLIA\438.response.json"
"19. DEMANDA - AMPLIA\437.docx",200,"responses\19. DEMANDA - AMPLIA\437.response.json"
"19. DEMANDA - AMPLIA\439.docx",200,"responses\19. DEMANDA - AMPLIA\439.response.json"
"19. DEMANDA - AMPLIA\440.docx",200,"responses\19. DEMANDA - AMPLIA\440.response.json"
